init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	volume	cost	travel_time	generalized cost
84	4474	100000	0.19	0	0.15	4	25	0	3	672.45	0.0475	0	0.19
85	4324	100000	0.13	0	0.15	4	25	0	3	88.25	0.0325	0	0.13
86	2675	100000	0.13	0	0.15	4	25	0	3	715.56	0.0325	0	0.13
87	4505	100000	0.13	0	0.15	4	25	0	3	683.32	0.0325	0	0.13
88	2780	100000	0.13	0	0.15	4	25	0	3	639.79	0.0325	0	0.13
89	4530	100000	0.14	0	0.15	4	25	0	3	609.21	0.035	0	0.14
90	4336	100000	0.12	0	0.15	4	25	0	3	38.08	0.03	0	0.12
91	4344	100000	0.13	0	0.15	4	25	0	3	146.76	0.0325	0	0.13
92	4513	100000	0.13	0	0.15	4	25	0	3	101.51	0.0325	0	0.13
93	9345	100000	0.12	0	0.15	4	25	0	3	387.11	0.03	0	0.12
94	10365	100000	0.13	0	0.15	4	25	0	3	184.3	0.0325	0	0.13
95	4544	100000	0.2	0	0.15	4	25	0	3	122.73	0.05	0	0.2
96	4338	100000	0.13	0	0.15	4	25	0	3	35.68	0.0325	0	0.13
97	4642	100000	0.13	0	0.15	4	25	0	3	31.19	0.0325	0	0.13
98	10364	100000	0.13	0	0.15	4	25	0	3	0.69	0.0325	0	0.13
99	2500	100000	0.13	0	0.15	4	25	0	3	64.74	0.0325	0	0.13
100	2514	100000	0.14	0	0.15	4	25	0	3	166.76	0.035	0	0.14
101	2426	100000	0.25	0	0.15	4	25	0	3	674.21	0.0625	0	0.25
102	6438	100000	0.25	0	0.15	4	25	0	3	419.59	0.0625	0	0.25
103	2556	100000	0.25	0	0.15	4	25	0	3	650.21	0.0625	0	0.25
104	10348	100000	0.25	0	0.15	4	25	0	3	1758.1	0.0625	0	0.25
105	6629	100000	0.17	0	0.15	4	25	0	3	1052.78	0.0425	0	0.17
106	6759	100000	0.25	0	0.15	4	25	0	3	626.23	0.0625	0	0.25
107	10347	100000	0.25	0	0.15	4	25	0	3	191.8	0.0625	0	0.25
108	2555	100000	0.25	0	0.15	4	25	0	3	925.55	0.0625	0	0.25
109	8842	100000	0.25	0	0.15	4	25	0	3	1561.48	0.0625	0	0.25
110	10349	100000	0.28	0	0.15	4	25	0	3	3871.49	0.07	0	0.28
111	10351	100000	0.25	0	0.15	4	25	0	3	707.56	0.0625	0	0.25
112	6763	100000	0.25	0	0.15	4	25	0	3	489.85	0.0625	0	0.25
113	6918	100000	0.25	0	0.15	4	25	0	3	425.68	0.0625	0	0.25
114	12840	100000	0.25	0	0.15	4	25	0	3	615.4	0.0625	0	0.25
115	4328	100000	0.25	0	0.15	4	25	0	3	484.89	0.0625	0	0.25
116	6933	100000	0.25	0	0.15	4	25	0	3	829.47	0.0625	0	0.25
117	4329	100000	0.25	0	0.15	4	25	0	3	846.97	0.0625	0	0.25
118	7025	100000	0.25	0	0.15	4	25	0	3	475.06	0.0625	0	0.25
119	7029	100000	0.25	0	0.15	4	25	0	3	305.94	0.0625	0	0.25
120	7032	100000	0.25	0	0.15	4	25	0	3	427.66	0.0625	0	0.25
121	10368	100000	0.25	0	0.15	4	25	0	3	518.85	0.0625	0	0.25
122	9232	100000	0.25	0	0.15	4	25	0	3	22.55	0.0625	0	0.25
123	9237	100000	0.25	0	0.15	4	25	0	3	319.11	0.0625	0	0.25
124	4362	100000	0.34	0	0.15	4	25	0	3	1.47	0.085	0	0.34
125	7470	100000	0.25	0	0.15	4	25	0	3	839.01	0.0625	0	0.25
126	2029	100000	0.25	0	0.15	4	25	0	3	598.34	0.0625	0	0.25
127	8053	100000	0.25	0	0.15	4	25	0	3	270.81	0.0625	0	0.25
128	7518	100000	0.25	0	0.15	4	25	0	3	471.56	0.0625	0	0.25
129	2552	100000	0.28	0	0.15	4	25	0	3	420.98	0.07	0	0.28
130	10346	100000	0.5	0	0.15	4	25	0	3	3048.4	0.125	0	0.5
131	10350	100000	0.5	0	0.15	4	25	0	3	1987.27	0.125	0	0.5
132	10358	100000	0.51	0	0.15	4	25	0	3	1539.25	0.1275	0	0.51
133	10366	100000	0.5	0	0.15	4	25	0	3	2226.29	0.125	0	0.5
134	10370	100000	0.5	0	0.15	4	25	0	3	1170.12	0.125	0	0.5
135	10371	100000	0.5	0	0.15	4	25	0	3	1027.9	0.125	0	0.5
136	10372	100000	0.5	0	0.15	4	25	0	3	2543.73	0.125	0	0.5
137	10373	100000	0.47	0	0.15	4	25	0	3	1535.58	0.1175	0	0.47
138	10374	100000	0.5	0	0.15	4	25	0	3	1836.22	0.125	0	0.5
139	10375	100000	0.51	0	0.15	4	25	0	3	2100.66	0.1275	0	0.51
140	10376	100000	0.51	0	0.15	4	25	0	3	1941.94	0.1275	0	0.51
141	10377	100000	0.55	0	0.15	4	25	0	3	2413.7	0.1375	0	0.55
142	10378	100000	0.5	0	0.15	4	25	0	3	1149.56	0.125	0	0.5
143	10379	100000	0.5	0	0.15	4	25	0	3	1338.21	0.125	0	0.5
144	10380	100000	0.5	0	0.15	4	25	0	3	1403.9	0.125	0	0.5
145	10381	100000	0.5	0	0.15	4	25	0	3	1609.68	0.125	0	0.5
146	10382	100000	0.4	0	0.15	4	25	0	3	562.66	0.1	0	0.4
147	10383	100000	0.5	0	0.15	4	25	0	3	2177.57	0.125	0	0.5
148	10384	100000	0.51	0	0.15	4	25	0	3	1747.9	0.1275	0	0.51
149	10385	100000	0.51	0	0.15	4	25	0	3	1228.81	0.1275	0	0.51
150	10386	100000	0.5	0	0.15	4	25	0	3	1453.41	0.125	0	0.5
151	10387	100000	0.56	0	0.15	4	25	0	3	3189.3	0.14	0	0.56
152	10388	100000	0.5	0	0.15	4	25	0	3	1522.28	0.125	0	0.5
153	10389	100000	0.5	0	0.15	4	25	0	3	1836.42	0.125	0	0.5
154	10390	100000	0.5	0	0.15	4	25	0	3	1048.54	0.125	0	0.5
155	10391	100000	0.5	0	0.15	4	25	0	3	1698.57	0.125	0	0.5
156	10392	100000	0.51	0	0.15	4	25	0	3	1355.14	0.1275	0	0.51
157	10393	100000	0.37	0	0.15	4	25	0	3	357.61	0.0925	0	0.37
158	10394	100000	0.5	0	0.15	4	25	0	3	1931.02	0.125	0	0.5
159	10395	100000	0.5	0	0.15	4	25	0	3	1835.87	0.125	0	0.5
160	10396	100000	0.5	0	0.15	4	25	0	3	1272.61	0.125	0	0.5
161	10397	100000	0.5	0	0.15	4	25	0	3	1633.97	0.125	0	0.5
162	10398	100000	0.5	0	0.15	4	25	0	3	861.47	0.125	0	0.5
163	10399	100000	0.47	0	0.15	4	25	0	3	1403.94	0.1175	0	0.47
164	10400	100000	0.5	0	0.15	4	25	0	3	1545.39	0.125	0	0.5
165	10401	100000	0.5	0	0.15	4	25	0	3	2128.07	0.125	0	0.5
166	10402	100000	0.5	0	0.15	4	25	0	3	1203.74	0.125	0	0.5
167	10403	100000	0.5	0	0.15	4	25	0	3	1998.27	0.125	0	0.5
168	10404	100000	0.51	0	0.15	4	25	0	3	1121.48	0.1275	0	0.51
169	10405	100000	0.5	0	0.15	4	25	0	3	1639.63	0.125	0	0.5
170	10406	100000	0.5	0	0.15	4	25	0	3	1533.94	0.125	0	0.5
171	10407	100000	0.5	0	0.15	4	25	0	3	1613.6	0.125	0	0.5
172	10408	100000	0.49	0	0.15	4	25	0	3	779.9	0.1225	0	0.49
173	10409	100000	0.51	0	0.15	4	25	0	3	1559.8	0.1275	0	0.51
174	10410	100000	0.5	0	0.15	4	25	0	3	1677.97	0.125	0	0.5
175	10411	100000	0.5	0	0.15	4	25	0	3	1354.47	0.125	0	0.5
176	10412	100000	0.51	0	0.15	4	25	0	3	731.44	0.1275	0	0.51
177	10413	100000	0.5	0	0.15	4	25	0	3	1282.55	0.125	0	0.5
178	10414	100000	0.5	0	0.15	4	25	0	3	1040.14	0.125	0	0.5
179	10415	100000	0.51	0	0.15	4	25	0	3	1001.39	0.1275	0	0.51
180	10416	100000	0.5	0	0.15	4	25	0	3	1084.41	0.125	0	0.5
181	10417	100000	0.5	0	0.15	4	25	0	3	1174.62	0.125	0	0.5
182	10418	100000	0.5	0	0.15	4	25	0	3	722.9	0.125	0	0.5
183	10419	100000	0.5	0	0.15	4	25	0	3	812.05	0.125	0	0.5
184	10420	100000	0.5	0	0.15	4	25	0	3	1024.49	0.125	0	0.5
185	10421	100000	0.5	0	0.15	4	25	0	3	676.25	0.125	0	0.5
186	10422	100000	0.5	0	0.15	4	25	0	3	782.65	0.125	0	0.5
187	10423	100000	0.58	0	0.15	4	25	0	3	916.2	0.145	0	0.58
188	10424	100000	0.5	0	0.15	4	25	0	3	786.65	0.125	0	0.5
189	10425	100000	0.5	0	0.15	4	25	0	3	747.98	0.125	0	0.5
190	10426	100000	0.5	0	0.15	4	25	0	3	1125.85	0.125	0	0.5
191	10427	100000	0.5	0	0.15	4	25	0	3	1157.01	0.125	0	0.5
192	10428	100000	0.57	0	0.15	4	25	0	3	82.49	0.1425	0	0.57
193	10429	100000	0.58	0	0.15	4	25	0	3	209.39	0.145	0	0.58
194	10430	100000	0.5	0	0.15	4	25	0	3	600.29	0.125	0	0.5
195	10431	100000	0.5	0	0.15	4	25	0	3	1022.87	0.125	0	0.5
196	10432	100000	0.5	0	0.15	4	25	0	3	1124.59	0.125	0	0.5
197	10433	100000	0.57	0	0.15	4	25	0	3	1045.82	0.1425	0	0.57
198	10434	100000	0.56	0	0.15	4	25	0	3	5.6	0.14	0	0.56
199	10435	100000	0.5	0	0.15	4	25	0	3	23.99	0.125	0	0.5
200	10436	100000	0.5	0	0.15	4	25	0	3	642.96	0.125	0	0.5
201	10437	100000	0.51	0	0.15	4	25	0	3	671.25	0.1275	0	0.51
202	10438	100000	0.56	0	0.15	4	25	0	3	1084.67	0.14	0	0.56
203	10439	100000	0.56	0	0.15	4	25	0	3	264	0.14	0	0.56
204	10440	100000	0.5	0	0.15	4	25	0	3	22.4	0.125	0	0.5
205	10441	100000	0.5	0	0.15	4	25	0	3	604.99	0.125	0	0.5
206	10442	100000	0.5	0	0.15	4	25	0	3	661.19	0.125	0	0.5
207	10443	100000	0.56	0	0.15	4	25	0	3	434.05	0.14	0	0.56
208	10444	100000	0.56	0	0.15	4	25	0	3	1152.17	0.14	0	0.56
209	10445	100000	0.5	0	0.15	4	25	0	3	594.46	0.125	0	0.5
210	10446	100000	0.5	0	0.15	4	25	0	3	123.98	0.125	0	0.5
211	10447	100000	0.5	0	0.15	4	25	0	3	3.29	0.125	0	0.5
212	10448	100000	0.56	0	0.15	4	25	0	3	578.85	0.14	0	0.56
213	10449	100000	0.56	0	0.15	4	25	0	3	198.93	0.14	0	0.56
214	10450	100000	0.5	0	0.15	4	25	0	3	850.12	0.125	0	0.5
215	10451	100000	0.51	0	0.15	4	25	0	3	616.49	0.1275	0	0.51
216	10452	100000	0.51	0	0.15	4	25	0	3	499.66	0.1275	0	0.51
217	10453	100000	0.5	0	0.15	4	25	0	3	464.03	0.125	0	0.5
218	10454	100000	0.56	0	0.15	4	25	0	3	611.84	0.14	0	0.56
219	10455	100000	0.5	0	0.15	4	25	0	3	575.9	0.125	0	0.5
220	10456	100000	0.5	0	0.15	4	25	0	3	507.37	0.125	0	0.5
221	10457	100000	0.5	0	0.15	4	25	0	3	489.53	0.125	0	0.5
222	10458	100000	0.5	0	0.15	4	25	0	3	919.1	0.125	0	0.5
223	10459	100000	0.5	0	0.15	4	25	0	3	1211.55	0.125	0	0.5
224	10460	100000	0.5	0	0.15	4	25	0	3	668.46	0.125	0	0.5
225	10461	100000	0.5	0	0.15	4	25	0	3	793.47	0.125	0	0.5
226	10462	100000	0.5	0	0.15	4	25	0	3	375.49	0.125	0	0.5
227	10463	100000	0.5	0	0.15	4	25	0	3	464.71	0.125	0	0.5
228	10464	100000	0.5	0	0.15	4	25	0	3	648.01	0.125	0	0.5
229	10465	100000	0.5	0	0.15	4	25	0	3	219.67	0.125	0	0.5
230	10466	100000	0.5	0	0.15	4	25	0	3	374.04	0.125	0	0.5
231	10467	100000	0.5	0	0.15	4	25	0	3	547.29	0.125	0	0.5
232	10468	100000	0.5	0	0.15	4	25	0	3	553.41	0.125	0	0.5
233	10469	100000	0.5	0	0.15	4	25	0	3	514.94	0.125	0	0.5
234	10470	100000	0.5	0	0.15	4	25	0	3	528.2	0.125	0	0.5
235	10471	100000	0.5	0	0.15	4	25	0	3	624.23	0.125	0	0.5
236	10472	100000	0.5	0	0.15	4	25	0	3	389.08	0.125	0	0.5
237	10473	100000	0.5	0	0.15	4	25	0	3	340.21	0.125	0	0.5
238	10474	100000	0.51	0	0.15	4	25	0	3	180.09	0.1275	0	0.51
239	10475	100000	0.5	0	0.15	4	25	0	3	349.25	0.125	0	0.5
240	10476	100000	0.5	0	0.15	4	25	0	3	193.71	0.125	0	0.5
241	10477	100000	0.5	0	0.15	4	25	0	3	544.96	0.125	0	0.5
242	10478	100000	0.5	0	0.15	4	25	0	3	515.29	0.125	0	0.5
243	10479	100000	0.5	0	0.15	4	25	0	3	526.27	0.125	0	0.5
244	10480	100000	0.51	0	0.15	4	25	0	3	235.68	0.1275	0	0.51
245	10481	100000	0.5	0	0.15	4	25	0	3	140.94	0.125	0	0.5
246	10482	100000	0.5	0	0.15	4	25	0	3	24.11	0.125	0	0.5
247	10483	100000	0.5	0	0.15	4	25	0	3	531.53	0.125	0	0.5
248	10484	100000	0.51	0	0.15	4	25	0	3	510.63	0.1275	0	0.51
249	10485	100000	0.51	0	0.15	4	25	0	3	634.37	0.1275	0	0.51
250	10486	100000	1.01	0	0.15	4	25	0	3	937.4	0.2525	0	1.01
251	10487	100000	1.01	0	0.15	4	25	0	3	509.8	0.2525	0	1.01
252	10488	100000	0.51	0	0.15	4	25	0	3	105.95	0.1275	0	0.51
253	10489	100000	0.5	0	0.15	4	25	0	3	541.88	0.125	0	0.5
254	10490	100000	0.5	0	0.15	4	25	0	3	369.78	0.125	0	0.5
255	10491	100000	0.5	0	0.15	4	25	0	3	577.37	0.125	0	0.5
256	10807	100000	0.51	0	0.15	4	25	0	3	239.26	0.1275	0	0.51
257	10813	100000	0.5	0	0.15	4	25	0	3	34.33	0.125	0	0.5
258	10493	100000	1	0	0.15	4	25	0	3	988.44	0.25	0	1
259	10494	100000	0.5	0	0.15	4	25	0	3	810.53	0.125	0	0.5
260	10495	100000	0.5	0	0.15	4	25	0	3	750.65	0.125	0	0.5
261	10492	100000	0.51	0	0.15	4	25	0	3	719.99	0.1275	0	0.51
262	10812	100000	0.5	0	0.15	4	25	0	3	446.34	0.125	0	0.5
263	10496	100000	1.01	0	0.15	4	25	0	3	2037.49	0.2525	0	1.01
264	10497	100000	1	0	0.15	4	25	0	3	1031.06	0.25	0	1
265	10498	100000	1.01	0	0.15	4	25	0	3	825.06	0.2525	0	1.01
266	10499	100000	0.47	0	0.15	4	25	0	3	190.22	0.1175	0	0.47
267	10500	100000	0.5	0	0.15	4	25	0	3	389.8	0.125	0	0.5
268	11189	100000	0.36	0	0.15	4	25	0	3	103.47	0.09	0	0.36
269	10501	100000	0.5	0	0.15	4	25	0	3	264.97	0.125	0	0.5
270	10502	100000	0.55	0	0.15	4	25	0	3	460.01	0.1375	0	0.55
271	10503	100000	0.5	0	0.15	4	25	0	3	376.93	0.125	0	0.5
272	10504	100000	0.5	0	0.15	4	25	0	3	522.2	0.125	0	0.5
273	10505	100000	0.47	0	0.15	4	25	0	3	336.04	0.1175	0	0.47
274	10506	100000	0.5	0	0.15	4	25	0	3	329.22	0.125	0	0.5
275	10507	100000	0.5	0	0.15	4	25	0	3	311.94	0.125	0	0.5
276	10508	100000	0.5	0	0.15	4	25	0	3	570.2	0.125	0	0.5
277	10509	100000	0.49	0	0.15	4	25	0	3	516.5	0.1225	0	0.49
278	10510	100000	0.5	0	0.15	4	25	0	3	730.67	0.125	0	0.5
279	10511	100000	0.5	0	0.15	4	25	0	3	597.06	0.125	0	0.5
280	10512	100000	0.5	0	0.15	4	25	0	3	826.01	0.125	0	0.5
281	10513	100000	0.49	0	0.15	4	25	0	3	1022.5	0.1225	0	0.49
282	10514	100000	0.46	0	0.15	4	25	0	3	462.99	0.115	0	0.46
283	10515	100000	0.43	0	0.15	4	25	0	3	528.29	0.1075	0	0.43
284	10516	100000	0.41	0	0.15	4	25	0	3	25.1	0.1025	0	0.41
285	10517	100000	0.41	0	0.15	4	25	0	3	844.1	0.1025	0	0.41
286	10518	100000	0.4	0	0.15	4	25	0	3	398.78	0.1	0	0.4
287	10519	100000	0.4	0	0.15	4	25	0	3	526.52	0.1	0	0.4
288	10520	100000	0.38	0	0.15	4	25	0	3	460.46	0.095	0	0.38
289	10521	100000	0.51	0	0.15	4	25	0	3	827.85	0.1275	0	0.51
290	10522	100000	0.5	0	0.15	4	25	0	3	440.28	0.125	0	0.5
291	10523	100000	0.5	0	0.15	4	25	0	3	1436.36	0.125	0	0.5
292	10524	100000	0.5	0	0.15	4	25	0	3	1280.5	0.125	0	0.5
293	10525	100000	0.5	0	0.15	4	25	0	3	739.98	0.125	0	0.5
294	10526	100000	0.49	0	0.15	4	25	0	3	1018.89	0.1225	0	0.49
295	10527	100000	0.51	0	0.15	4	25	0	3	1008.44	0.1275	0	0.51
296	10528	100000	0.5	0	0.15	4	25	0	3	1146.43	0.125	0	0.5
297	10529	100000	0.5	0	0.15	4	25	0	3	1565.61	0.125	0	0.5
298	10530	100000	0.5	0	0.15	4	25	0	3	1035.72	0.125	0	0.5
299	10531	100000	0.5	0	0.15	4	25	0	3	1350.64	0.125	0	0.5
300	10532	100000	0.49	0	0.15	4	25	0	3	1173.88	0.1225	0	0.49
301	10533	100000	0.51	0	0.15	4	25	0	3	1297.68	0.1275	0	0.51
302	10534	100000	0.5	0	0.15	4	25	0	3	1654.49	0.125	0	0.5
303	10535	100000	0.5	0	0.15	4	25	0	3	1537.61	0.125	0	0.5
304	10536	100000	0.5	0	0.15	4	25	0	3	1050.41	0.125	0	0.5
305	10537	100000	0.5	0	0.15	4	25	0	3	1087.55	0.125	0	0.5
306	10538	100000	0.49	0	0.15	4	25	0	3	1341.24	0.1225	0	0.49
307	10539	100000	0.51	0	0.15	4	25	0	3	513.77	0.1275	0	0.51
308	10540	100000	0.5	0	0.15	4	25	0	3	696.57	0.125	0	0.5
309	10541	100000	0.5	0	0.15	4	25	0	3	775.02	0.125	0	0.5
310	10542	100000	0.5	0	0.15	4	25	0	3	805.08	0.125	0	0.5
311	10543	100000	0.5	0	0.15	4	25	0	3	1270.71	0.125	0	0.5
312	10544	100000	0.5	0	0.15	4	25	0	3	2273.43	0.125	0	0.5
313	10545	100000	0.5	0	0.15	4	25	0	3	958.15	0.125	0	0.5
314	10546	100000	0.49	0	0.15	4	25	0	3	1164.12	0.1225	0	0.49
315	10547	100000	0.51	0	0.15	4	25	0	3	678	0.1275	0	0.51
316	10548	100000	0.5	0	0.15	4	25	0	3	1405.83	0.125	0	0.5
317	10549	100000	0.5	0	0.15	4	25	0	3	1444.75	0.125	0	0.5
318	10550	100000	0.5	0	0.15	4	25	0	3	2685.45	0.125	0	0.5
319	10551	100000	0.5	0	0.15	4	25	0	3	1367.89	0.125	0	0.5
320	10552	100000	0.51	0	0.15	4	25	0	3	1388.44	0.1275	0	0.51
321	10553	100000	0.51	0	0.15	4	25	0	3	1425.89	0.1275	0	0.51
322	10554	100000	0.5	0	0.15	4	25	0	3	992.55	0.125	0	0.5
323	10555	100000	0.5	0	0.15	4	25	0	3	2379.08	0.125	0	0.5
324	10556	100000	0.5	0	0.15	4	25	0	3	2769.65	0.125	0	0.5
325	10557	100000	0.53	0	0.15	4	25	0	3	1296.75	0.1325	0	0.53
326	10558	100000	0.53	0	0.15	4	25	0	3	1728.41	0.1325	0	0.53
327	10559	100000	0.52	0	0.15	4	25	0	3	1658.76	0.13	0	0.52
328	10560	100000	0.5	0	0.15	4	25	0	3	1783.31	0.125	0	0.5
329	10561	100000	0.5	0	0.15	4	25	0	3	3434.24	0.125	0	0.5
330	10562	100000	0.5	0	0.15	4	25	0	3	2827.68	0.125	0	0.5
331	10563	100000	0.52	0	0.15	4	25	0	3	1380.31	0.13	0	0.52
332	10564	100000	0.51	0	0.15	4	25	0	3	1679.34	0.1275	0	0.51
333	10565	100000	0.51	0	0.15	4	25	0	3	2089.3	0.1275	0	0.51
334	10566	100000	0.5	0	0.15	4	25	0	3	1960.37	0.125	0	0.5
335	10567	100000	0.5	0	0.15	4	25	0	3	2325.54	0.125	0	0.5
336	10568	100000	0.5	0	0.15	4	25	0	3	2296.43	0.125	0	0.5
337	10569	100000	0.52	0	0.15	4	25	0	3	1816.65	0.13	0	0.52
338	10570	100000	0.5	0	0.15	4	25	0	3	1724.87	0.125	0	0.5
339	10571	100000	0.51	0	0.15	4	25	0	3	2491.87	0.1275	0	0.51
340	10572	100000	0.5	0	0.15	4	25	0	3	2458.64	0.125	0	0.5
341	10573	100000	0.5	0	0.15	4	25	0	3	3831.43	0.125	0	0.5
